Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28 00:00:00+02:00,54.96715271261849,55.9148622421464,53.46079335515835,54.9871044921875,20079255,0.0,0.0
2020-03-02 00:00:00+02:00,56.563297567562174,56.832646603598185,54.21896336502653,54.747685546875,12115143,0.0,0.0
2020-03-03 00:00:00+02:00,55.61558924449574,56.2540462331321,53.740121840376425,54.8673974609375,17249206,0.0,0.0
2020-03-04 00:00:00+02:00,54.857423440939336,56.36378294986493,54.737712751488296,56.0844580078125,14178431,0.0,0.0
2020-03-05 00:00:00+02:00,57.062104973394746,57.01222551100541,55.186637187555895,55.77521484375,12479767,0.0,0.0
2020-03-06 00:00:00+02:00,54.1790677717009,54.71776592299382,52.30360013386628,52.7325634765625,11146759,0.0,0.0
2020-03-09 00:00:00+02:00,50.7573414375,51.565388736328124,49.410595939453124,49.879462890625,13463099,0.0,0.0
2020-03-10 00:00:00+02:00,52.27366637366055,53.650339266707334,50.53786142155807,52.13400390625,20154942,0.0,0.0
2020-03-11 00:00:00+02:00,52.42330902730041,53.131597312921414,51.38581632723586,52.1539599609375,15296866,0.0,0.0
2020-03-12 00:00:00+02:00,50.078974006655905,50.87704530556676,48.98162597065348,49.46046875,23212478,0.0,0.0
2020-03-13 00:00:00+02:00,50.13882191840278,50.817182421875,48.1236921875,49.380654296875,23088189,0.0,0.0
2020-03-16 00:00:00+02:00,47.77454515597048,48.86191734682468,42.756671651386405,44.6121875,21194534,0.0,0.0
2020-03-17 00:00:00+02:00,45.24066974489721,45.56987417744003,42.19802271685011,42.82650390625,20977860,0.0,0.0
2020-03-18 00:00:00+02:00,41.79898654440175,42.4573954016644,36.162607690562375,36.71128173828125,24253511,0.0,0.0
2020-03-19 00:00:00+02:00,37.130264713253595,37.16019238497304,33.36935396717713,33.81826904296875,42930305,0.0,0.0
2020-03-20 00:00:00+02:00,35.11513439360119,36.87089111328125,32.301933285932,36.87089111328125,41499145,0.0,0.0
