Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28 00:00:00+02:00,2429.431459380276,2489.3538491671097,2380.63765625,2380.63765625,2778368,0.0,0.0
2020-03-02 00:00:00+02:00,2493.683637372449,2539.6878010274236,2431.2015641970665,2449.68921875,2518082,0.0,0.0
2020-03-03 00:00:00+02:00,2499.6828762755104,2517.490617086097,2445.289776887755,2449.68921875,2391646,0.0,0.0
2020-03-04 00:00:00+02:00,2469.686681760204,2497.7831172895408,2441.8002195924746,2449.68921875,1433869,0.0,0.0
2020-03-05 00:00:00+02:00,2502.6323937538755,2529.6789613045826,2457.668100121517,2499.3328125,1583108,0.0,0.0
2020-03-06 00:00:00+02:00,2427.9218318288795,2475.8457490029355,2410.7140159606233,2469.4365625,2074775,0.0,0.0
2020-03-09 00:00:00+02:00,2374.698799783749,2407.6646184906417,2299.7083113695257,2361.54046875,1719790,0.0,0.0
2020-03-10 00:00:00+02:00,2489.683978917861,2535.0282232728514,2402.19508407637,2465.63703125,2260410,0.0,0.0
2020-03-11 00:00:00+02:00,2458.6877894533186,2514.9706425107925,2434.7008353789042,2480.655,1880984,0.0,0.0
2020-03-12 00:00:00+02:00,2375.9484972726586,2430.1816152072483,2244.7251492318114,2282.8403125,2528683,0.0,0.0
2020-03-13 00:00:00+02:00,2349.7018873762377,2379.6980816831683,2203.170478186881,2221.718125,3108205,0.0,0.0
2020-03-16 00:00:00+02:00,2069.7573405805088,2119.5910165133655,1922.3060526628035,2030.33234375,3053412,0.0,0.0
2020-03-17 00:00:00+02:00,2116.441260173694,2134.7289380552065,1926.7453472332563,2045.1503125,2607643,0.0,0.0
2020-03-18 00:00:00+02:00,1944.7533243901964,2031.7022956441663,1843.5661591314365,1920.45640625,2875769,0.0,0.0
2020-03-19 00:00:00+02:00,1949.7927408486598,2096.8040978910685,1939.903994870632,2049.03015625,5506025,0.0,0.0
2020-03-20 00:00:00+02:00,2144.717677096143,2281.100360071781,2122.2305323738397,2154.72640625,5419539,0.0,0.0
2020-03-23 00:00:00+02:00,2038.1514697368068,2221.498213034592,2027.8727735427663,2144.58796875,2534222,0.0,0.0
2020-03-24 00:00:00+02:00,2299.7080270922747,2399.625341504158,2261.5728687647534,2329.70421875,3323620,0.0,0.0
2020-03-25 00:00:00+02:00,2399.6954724457596,2486.704430784189,2364.84989443962,2452.66875,2244658,0.0,0.0
2020-03-26 00:00:00+02:00,2448.689294430942,2607.4091550262733,2403.7449972546774,2577.35296875,2199829,0.0,0.0
